Scheduling Algorithm,Type,Process ID,Arrival Time,Burst Time,Start Time,Completion Time,Waiting Time,Turnaround Time,Assigned Nodes,Status,Metric,Value,Node ID,Utilization Time,Utilization Percent
SJF,Summary,,,,,,,,,,Success Rate,100.0,,,
SJF,Summary,,,,,,,,,,Total Execution Time,376.0,,,
SJF,Summary,,,,,,,,,,Average Waiting Time,105.5,,,
SJF,Summary,,,,,,,,,,Average Turnaround Time,146.875,,,
SJF,Summary,,,,,,,,,,Throughput,0.0212766,,,
SJF,Summary,,,,,,,,,,CPU Utilization,4.94606,,,
SJF,Summary,,,,,,,,,,Memory Utilization,23.813,,,
SJF,Summary,,,,,,,,,,Bandwidth Utilization,2.89319,,,
SJF,Summary,,,,,,,,,,Scheduling Overhead,40 calculations,,,
SJF,Summary,,,,,,,,,,Resource Checks,32.0,,,
SJF,Summary,,,,,,,,,,Assignment Attempts,8.0,,,
SJF,Node Utilization,,,,,,,,,,,,4,126.0,33.5106
SJF,Node Utilization,,,,,,,,,,,,3,35.0,9.30851
SJF,Node Utilization,,,,,,,,,,,,2,130.0,34.5745
SJF,Node Utilization,,,,,,,,,,,,1,40.0,10.6383
